Property Type,District,Mukim,Scheme Name/Area,"Month, Year of Transaction Date",Tenure,Land Area,Unit,Main Floor Area,Transaction Price
1 - 1 1/2 Storey Terraced,Alor Gajah,Bdr Alor Gajah,TAMAN SERI BAYU,October 2022,Leasehold,143,sq.m,85.84,200000
1 - 1 1/2 Storey Terraced,Alor Gajah,Bdr Masjid Tanah,TAMAN BKT INDAH,July 2022,Freehold,143,sq.m,76.64,173000
1 - 1 1/2 Storey Terraced,Alor Gajah,Bdr Masjid Tanah,TAMAN BKT INDAH,September 2022,Freehold,143,sq.m,77.01,210000
1 - 1 1/2 Storey Terraced,Alor Gajah,Belimbing,TAMAN BELIMBING HARMONI,October 2022,Leasehold,232,sq.m,75.72,361111
1 - 1 1/2 Storey Terraced,Alor Gajah,Belimbing,TAMAN VISTA BELIMBING,January 2022,Freehold,128,sq.m,83.61,230000
1 - 1 1/2 Storey Terraced,Alor Gajah,Durian Tunggal, TAMAN TAMBUN PERWIRA,February 2022,Freehold,201,sq.m,90.45,313840
1 - 1 1/2 Storey Terraced,Alor Gajah,Durian Tunggal, TAMAN TAMBUN PERWIRA,June 2022,Freehold,219,sq.m,90.45,325480
1 - 1 1/2 Storey Terraced,Alor Gajah,Durian Tunggal,TAMAN ANGKASA NURI,January 2022,Leasehold,111,sq.m,74.32,238000
1 - 1 1/2 Storey Terraced,Alor Gajah,Durian Tunggal,TAMAN ANGKASA NURI,February 2022,Leasehold,139,sq.m,74.32,245000
1 - 1 1/2 Storey Terraced,Alor Gajah,Durian Tunggal,TAMAN ANGKASA NURI,May 2022,Leasehold,121,sq.m,74.32,307000
1 - 1 1/2 Storey Terraced,Alor Gajah,Durian Tunggal,TAMAN ANGKASA NURI,July 2022,Freehold,253,sq.m,81.75,350000
1 - 1 1/2 Storey Terraced,Alor Gajah,Durian Tunggal,TAMAN ANGKASA NURI,July 2022,Leasehold,121,sq.m,74.32,310000
1 - 1 1/2 Storey Terraced,Alor Gajah,Durian Tunggal,TAMAN ANGKASA NURI,August 2022,Leasehold,111,sq.m,74.32,230000
1 - 1 1/2 Storey Terraced,Alor Gajah,Durian Tunggal,TAMAN ANGKASA NURI,August 2022,Leasehold,121,sq.m,74.32,314000
1 - 1 1/2 Storey Terraced,Alor Gajah,Durian Tunggal,TAMAN ANGKASA NURI,August 2022,Leasehold,121,sq.m,74.32,260000
1 - 1 1/2 Storey Terraced,Alor Gajah,Durian Tunggal,TAMAN ANGKASA NURI,October 2022,Leasehold,121,sq.m,74.32,290000
1 - 1 1/2 Storey Terraced,Alor Gajah,Durian Tunggal,TAMAN ANGKASA NURI,October 2022,Leasehold,121,sq.m,74.32,255000
1 - 1 1/2 Storey Terraced,Alor Gajah,Durian Tunggal,TAMAN ANGKASA NURI,October 2022,Leasehold,139,sq.m,74.32,240000
