Scheme Name/Area,Lat,Long
TAMAN SERI BAYU,2.38474,102.212509
TAMAN BKT INDAH,2.35055,102.10386
TAMAN BKT INDAH,2.35055,102.10386
TAMAN BELIMBING HARMONI,2.335506356,102.2668939
TAMAN VISTA BELIMBING,2.328141744,102.2669582
 TAMAN TAMBUN PERWIRA,2.3249168,102.2856849
 TAMAN TAMBUN PERWIRA,2.3249168,102.2856849
TAMAN ANGKASA NURI,2.277575495,102.2507415
TAMAN ANGKASA NURI,2.277575495,102.2507415
TAMAN ANGKASA NURI,2.277575495,102.2507415
TAMAN ANGKASA NURI,2.277575495,102.2507415
TAMAN ANGKASA NURI,2.277575495,102.2507415
TAMAN ANGKASA NURI,2.277575495,102.2507415
TAMAN ANGKASA NURI,2.277575495,102.2507415
TAMAN ANGKASA NURI,2.277575495,102.2507415
TAMAN ANGKASA NURI,2.277575495,102.2507415
TAMAN ANGKASA NURI,2.277575495,102.2507415
TAMAN ANGKASA NURI,2.277575495,102.2507415
TAMAN BELATOK EMAS,2.298539888,102.2649876
TAMAN BELATOK EMAS,2.298539888,102.2649876
TAMAN CEMPAKA,2.31920301,102.2801714
TAMAN DESA IDAMAN,2.31073802,102.2803167
TAMAN DESA IDAMAN,2.31073802,102.2803167
TAMAN DESA IDAMAN 3 (PPA1M),2.31073802,102.2803167
TAMAN DURIAN TUNGGAL GEMILANG,2.320554193,102.2795681
TAMAN KASAWARI,2.290975802,102.2625453
TAMAN KASAWARI,2.290975802,102.2625453
TAMAN KASAWARI,2.290975802,102.2625453
TAMAN KASAWARI,2.290975802,102.2625453
TAMAN KENARI JAYA (HARVEST JAYA),2.313185814,102.2919535
TAMAN MERAK MAS,2.225024483,102.2927123
TAMAN MURAI JAYA (MURAI EMAS),2.31448524,102.284589
TAMAN MURAI JAYA (MURAI EMAS),2.31448524,102.284589
TAMAN MURAI JAYA (MURAI EMAS),2.31448524,102.284589
TAMAN MURAI JAYA (MURAI EMAS),2.31448524,102.284589
TAMAN MURAI JAYA (MURAI EMAS),2.31448524,102.284589
TAMAN MURAI JAYA (MURAI EMAS),2.31448524,102.284589
TAMAN PULAU INDAH,2.311388096,102.265111
TAMAN RAJAWALI,2.314718791,102.2804073
TAMAN RAJAWALI,2.314718791,102.2804073
TAMAN GADEK PERDANA(SERI MANGGIS),2.379391891,102.2700539
TAMAN GADEK PERDANA(SERI MANGGIS),2.379391891,102.2700539
TAMAN SERI MANGGIS,2.379391891,102.2700539
TAMAN SERI MANGGIS,2.379391891,102.2700539
TAMAN SERI MANGGIS,2.379391891,102.2700539
TAMAN KELISA,2.382462343,101.979265
TAMAN KELISA,2.382462343,101.979265
TAMAN KELISA,2.382462343,101.979265
TAMAN KELISA,2.382462343,101.979265
TAMAN AMAN,2.18612242,102.2688543
TAMAN KASA HEIGHTS,2.38303695,102.2207932
TAMAN KASA HEIGHTS,2.38303695,102.2207932
TAMAN KASA HEIGHTS,2.38303695,102.2207932
TAMAN KEBAYA (RUM AWAM PAYA DATOK F2 & 3 ),2.40198621,102.1956197
TAMAN KEBAYA (RUM AWAM PAYA DATOK F2 & 3 ),2.40198621,102.1956197
TAMAN KELEMAK JAYA,2.378787446,102.2055873
TAMAN KELEMAK PERDANA,2.395635666,102.2079853
TAMAN SAMARINDA,2.375206909,102.2277745
TAMAN SAMARINDA,2.375206909,102.2277745
TAMAN SERI KELEMAK,2.36709925,102.2041907
TAMAN SERI KELEMAK,2.36709925,102.2041907
TAMAN SERI KELEMAK,2.36709925,102.2041907
TAMAN SERI KELEMAK,2.36709925,102.2041907
TAMAN SERI SUTERA (TAMAN SERI PENGKALAN),2.37345379,102.2257184
TAMAN SERI SUTERA (TAMAN SERI PENGKALAN),2.37345379,102.2257184
TAMAN SUTERA INDAH,2.373553817,102.2005739
TAMAN SUTERA INDAH,2.373553817,102.2005739
TAMAN SUTERA INDAH,2.373553817,102.2005739
TAMAN AIR PASIR PERDANA,2.382175789,102.3404001
TAMAN AIR PASIR PERDANA,2.382175789,102.3404001
TAMAN AIR PASIR PERDANA,2.382175789,102.3404001
TAMAN MACHAP BESTARI,2.371929912,102.3446148
TAMAN MACHAP BESTARI,2.371929912,102.3446148
TAMAN MAWAR - MACHAP,2.385745141,102.3307474
TAMAN MAWAR JAYA/PERMAI JAYA,2.378845578,102.2818852
TAMAN MAWAR JAYA/PERMAI JAYA,2.378845578,102.2818852
TAMAN MAWAR JAYA/PERMAI JAYA,2.378845578,102.2818852
TAMAN BDR BARU MASJID TANAH,2.350672655,102.1109937
TAMAN BKT INDAH,2.35055,102.10386
TAMAN MASJID TANAH PERDANA,2.355359672,102.1201008
TAMAN MASJID TANAH PERDANA,2.355359672,102.1201008
TAMAN PERMAI,2.347362622,102.104439
TAMAN PERMAI,2.347362622,102.104439
TAMAN SERI AMAN,2.368485733,102.0990818
TAMAN SERI AMAN,2.368485733,102.0990818
TAMAN SERI AMAN,2.368485733,102.0990818
TAMAN SERI AMAN,2.368485733,102.0990818
