,Property Type,District,Mukim,Scheme Name/Area,"Month, Year of Transaction Date",Tenure,Land Size,Unit,Build Size,Transaction Price,Lat,Long
0,1 - 1 1/2 Storey Terraced,Alor Gajah,Bdr Alor Gajah,TAMAN SERI BAYU,2022-10-01,Leasehold,1539.2377,sq.ft,923.973176,200000,2.38474,102.212509
1,1 - 1 1/2 Storey Terraced,Alor Gajah,Bdr Masjid Tanah,TAMAN BKT INDAH,2022-07-01,Freehold,1539.2377,sq.ft,824.945296,173000,2.35055,102.10386
2,1 - 1 1/2 Storey Terraced,Alor Gajah,Bdr Masjid Tanah,TAMAN BKT INDAH,2022-09-01,Freehold,1539.2377,sq.ft,828.927939,210000,2.35055,102.10386
3,1 - 1 1/2 Storey Terraced,Alor Gajah,Belimbing,TAMAN BELIMBING HARMONI,2022-10-01,Leasehold,2497.2248,sq.ft,815.042508,361111,2.335506356,102.2668939
4,1 - 1 1/2 Storey Terraced,Alor Gajah,Belimbing,TAMAN VISTA BELIMBING,2022-01-01,Freehold,1377.7792,sq.ft,899.9696789999999,230000,2.328141744,102.2669582
5,1 - 1 1/2 Storey Terraced,Alor Gajah,Durian Tunggal, TAMAN TAMBUN PERWIRA,2022-02-01,Freehold,2163.5439,sq.ft,973.594755,313840,2.3249168,102.2856849
6,1 - 1 1/2 Storey Terraced,Alor Gajah,Durian Tunggal, TAMAN TAMBUN PERWIRA,2022-06-01,Freehold,2357.2941,sq.ft,973.594755,325480,2.3249168,102.2856849
7,1 - 1 1/2 Storey Terraced,Alor Gajah,Durian Tunggal,TAMAN ANGKASA NURI,2022-01-01,Leasehold,1194.7929,sq.ft,799.973048,238000,2.277575495,102.2507415
8,1 - 1 1/2 Storey Terraced,Alor Gajah,Durian Tunggal,TAMAN ANGKASA NURI,2022-02-01,Leasehold,1496.1821,sq.ft,799.973048,245000,2.277575495,102.2507415
9,1 - 1 1/2 Storey Terraced,Alor Gajah,Durian Tunggal,TAMAN ANGKASA NURI,2022-05-01,Leasehold,1302.4319,sq.ft,799.973048,307000,2.277575495,102.2507415
10,1 - 1 1/2 Storey Terraced,Alor Gajah,Durian Tunggal,TAMAN ANGKASA NURI,2022-07-01,Freehold,2723.2666999999997,sq.ft,879.9488249999999,350000,2.277575495,102.2507415
